sp,lon,lat
americabaetis_ur,-55.35305556,-34.40222222
americabaetis_ur,-55.28388889,-34.285
americabaetis_ur,-54.78166667,-33.98833333
americabaetis_ur,-55.2375,-34.67222222
americabaetis_ur,-55.05333333,-34.62972222
americabaetis_ur,-57.10472222,-33.70333333
americabaetis_ur,-58.11722222,-33.00888889
americabaetis_ur,-57.96055556,-33.24027778
americabaetis_ur,-58.05111111,-32.35055556
americabaetis_ur,-56.87352778,-34.31477778
americabaetis_ur,-54.37447222,-34.53522222
americabaetis_ur,-54.81341667,-34.20416667
americabaetis_ur,-55.10130556,-34.41013889
americabaetis_ur,-55.96608333,-31.09352778
americabaetis_ur,-57.68625,-33.839
americabaetis_ur,-54.428,-34.34708333
americabaetis_ur,-54.45955556,-34.3415
americabaetis_ur,-53.95905556,-34.02111111
americabaetis_ur,-54.461,-32.92644444
americabaetis_ur,-56.77636111,-31.90386111
americabaetis_ur,-57.72655556,-34.44383333
americabaetis_ur,-57.69555556,-34.42611111
americabaetis_ur,-55.68472222,-32.01
americabaetis_ur,-55.57691667,-32.39463889
americabaetis_ur,-57.19069444,-32.38872222
americabaetis_ur,-57.24908333,-32.6595
americabaetis_ur,-57.10286111,-32.46502778
americabaetis_ur,-57.13663889,-32.52916667
americabaetis_ur,-54.86997222,-34.78341667
americabaetis_ur,-54.47122222,-34.08005556
americabaetis_ur,-56.30086111,-31.64325
americabaetis_ur,-54.17863889,-34.58627778
americabaetis_ur,-54.33166667,-32.96805556
americabaetis_ur,-57.80263889,-9.085
americabaetis_ur,-57.75361111,-9.031027778
americabaetis_ur,-57.78002778,-9.056916667
americabaetis_ur,-57.89213889,-9.050361111
americabaetis_ur,-57.76688889,-9.037333333
